Name,Link,Type,Teams,Timesplit,Timesplit Avail.,Tabular,Status,Notes,Deadline
jigsaw-toxic-comment-classification-challenge,https://www.kaggle.com/c/jigsaw-toxic-comment-classification-challenge,Featured,4539,,,0,,text,2018-03-20 23:59
mercari-price-suggestion-challenge,https://www.kaggle.com/c/mercari-price-suggestion-challenge,Featured,2380,,,0,,text,2018-02-21 20:03
nomad2018-predict-transparent-conductors,https://www.kaggle.com/c/nomad2018-predict-transparent-conductors,Research,878,,,0,,spatial info,2018-02-15 23:59
sp-society-camera-model-identification,https://www.kaggle.com/c/sp-society-camera-model-identification,Featured,580,,,0,,images,2018-02-08 23:59
statoil-iceberg-classifier-challenge,https://www.kaggle.com/c/statoil-iceberg-classifier-challenge,Featured,3330,,,0,,images,2018-01-23 23:59
tensorflow-speech-recognition-challenge,https://www.kaggle.com/c/tensorflow-speech-recognition-challenge,Featured,1313,,,0,,sound,2018-01-16 23:59
passenger-screening-algorithm-challenge,https://www.kaggle.com/c/passenger-screening-algorithm-challenge,Featured,518,,,0,,image,2017-12-15 23:59
cdiscount-image-classification-challenge,https://www.kaggle.com/c/cdiscount-image-classification-challenge,Featured,626,,,0,,image,2017-12-14 23:59
web-traffic-time-series-forecasting,https://www.kaggle.com/c/web-traffic-time-series-forecasting,Research,1095,,,0,,time series,2017-11-15 23:59
msk-redefining-cancer-treatment,https://www.kaggle.com/c/msk-redefining-cancer-treatment,Research,1386,,,0,,text,2017-10-02 23:59
carvana-image-masking-challenge,https://www.kaggle.com/c/carvana-image-masking-challenge,Featured,734,,,0,,images,2017-09-27 23:59
instacart-market-basket-analysis,https://www.kaggle.com/c/instacart-market-basket-analysis,Featured,2621,,,0,,not our task type,2017-08-14 23:59
planet-understanding-the-amazon-from-space,https://www.kaggle.com/c/planet-understanding-the-amazon-from-space,Featured,936,,,0,,images,2017-07-20 23:59
intel-mobileodt-cervical-cancer-screening,https://www.kaggle.com/c/intel-mobileodt-cervical-cancer-screening,Featured,848,,,0,,images,2017-06-21 23:59
quora-question-pairs,https://www.kaggle.com/c/quora-question-pairs,Featured,3295,,,0,,text,2017-06-06 23:59
youtube8m,https://www.kaggle.com/c/youtube8m,Featured,655,,,0,,videos,2017-06-02 23:59
data-science-bowl-2017,https://www.kaggle.com/c/data-science-bowl-2017,Featured,1972,,,0,,duplicated,2017-04-12 23:59
the-nature-conservancy-fisheries-monitoring,https://www.kaggle.com/c/the-nature-conservancy-fisheries-monitoring,Featured,2293,,,0,,images,2017-04-12 23:59
two-sigma-financial-modeling,https://www.kaggle.com/c/two-sigma-financial-modeling,Featured,2063,,,0,,time series,2017-03-01 23:59
talkingdata-mobile-user-demographics,https://www.kaggle.com/c/talkingdata-mobile-user-demographics,Featured,1680,,,0,,time data,2016-09-05 23:59
ultrasound-nerve-segmentation,https://www.kaggle.com/c/ultrasound-nerve-segmentation,Featured,922,,,0,,images,2016-08-18 23:59
state-farm-distracted-driver-detection,https://www.kaggle.com/c/state-farm-distracted-driver-detection,Featured,1438,,,0,,images,2016-08-01 23:59
avito-duplicate-ads-detection,https://www.kaggle.com/c/avito-duplicate-ads-detection,Featured,546,,,0,,,2016-07-11 23:59
home-depot-product-search-relevance,https://www.kaggle.com/c/home-depot-product-search-relevance,Featured,2123,,,0,,,2016-04-25 23:59
the-winton-stock-market-challenge,https://www.kaggle.com/c/the-winton-stock-market-challenge,Featured,829,,,0,,,2016-01-26 23:59
santas-stolen-sleigh,https://www.kaggle.com/c/santas-stolen-sleigh,Featured,1126,,,0,,,2016-01-08 23:59
coupon-purchase-prediction,https://www.kaggle.com/c/coupon-purchase-prediction,Featured,1072,,,0,,,2015-09-30 23:59
machinery-tube-pricing,https://www.kaggle.com/c/machinery-tube-pricing,Featured,1320,,,0,,удален,2015-08-31 23:59
diabetic-retinopathy-detection,https://www.kaggle.com/c/diabetic-retinopathy-detection,Featured,660,,,0,,картинки,2015-07-27 23:59
crowdflower-search-relevance,https://www.kaggle.com/c/crowdflower-search-relevance,Featured,1324,,,0,,текст,2015-07-06 23:59
predict-west-nile-virus,https://www.kaggle.com/c/predict-west-nile-virus,Featured,1304,,,0,,,2015-06-17 23:59
